post,target_minority,label
I hate people who are LGBT.,LGBT,0
I hate tranny.,LGBT,0
"I dislike people who are asian, but I hate people who are LGBT more.",LGBT,0
"I dislike jap, but I hate faggot more.",LGBT,0
"I dislike people who are black, but I hate people who are LGBT more.",LGBT,0
"I dislike jiggabo, but I hate trap more.",LGBT,0
"I dislike people who are jewish, but I hate people who are LGBT more.",LGBT,0
"I dislike abie, but I hate troll more.",LGBT,0
"I dislike people who are muslim, but I hate people who are LGBT more.",LGBT,0
"I dislike terrorist, but I hate poof more.",LGBT,0
"I dislike people who are women, but I hate people who are LGBT more.",LGBT,0
"I dislike bitch, but I hate fruit more.",LGBT,0
I hate people who are asian.,asian,1
I hate banana.,asian,1
"I dislike people who are LGBT, but I hate people who are asian more.",asian,1
"I dislike fairy, but I hate chink more.",asian,1
"I dislike people who are black, but I hate people who are asian more.",asian,1
"I dislike niglet, but I hate banana more.",asian,1
"I dislike people who are jewish, but I hate people who are asian more.",asian,1
"I dislike ike, but I hate banana more.",asian,1
"I dislike people who are muslim, but I hate people who are asian more.",asian,1
"I dislike kto, but I hate pancake more.",asian,1
"I dislike people who are women, but I hate people who are asian more.",asian,1
"I dislike whore, but I hate pancake more.",asian,1
I hate people who are black.,black,2
I hate jigg.,black,2
"I dislike people who are LGBT, but I hate people who are black more.",black,2
"I dislike tranny, but I hate jungle bunny more.",black,2
"I dislike people who are asian, but I hate people who are black more.",black,2
"I dislike pancake, but I hate jig more.",black,2
"I dislike people who are jewish, but I hate people who are black more.",black,2
"I dislike abie, but I hate niggah more.",black,2
"I dislike people who are muslim, but I hate people who are black more.",black,2
"I dislike muzzie, but I hate abid more.",black,2
"I dislike people who are women, but I hate people who are black more.",black,2
"I dislike hag, but I hate jigaboo more.",black,2
I hate people who are jewish.,jewish,3
I hate abe.,jewish,3
"I dislike people who are LGBT, but I hate people who are jewish more.",jewish,3
"I dislike bender, but I hate abe more.",jewish,3
"I dislike people who are asian, but I hate people who are jewish more.",jewish,3
"I dislike banana, but I hate abe more.",jewish,3
"I dislike people who are black, but I hate people who are jewish more.",jewish,3
"I dislike shine, but I hate kike more.",jewish,3
"I dislike people who are muslim, but I hate people who are jewish more.",jewish,3
"I dislike terrorist, but I hate abe more.",jewish,3
"I dislike people who are women, but I hate people who are jewish more.",jewish,3
"I dislike feminazi, but I hate abe more.",jewish,3
I hate people who are muslim.,muslim,4
I hate kto.,muslim,4
"I dislike people who are LGBT, but I hate people who are muslim more.",muslim,4
"I dislike troll, but I hate kto more.",muslim,4
"I dislike people who are asian, but I hate people who are muslim more.",muslim,4
"I dislike abc, but I hate kto more.",muslim,4
"I dislike people who are black, but I hate people who are muslim more.",muslim,4
"I dislike spade, but I hate terrorist more.",muslim,4
"I dislike people who are jewish, but I hate people who are muslim more.",muslim,4
"I dislike ike, but I hate nere more.",muslim,4
"I dislike people who are women, but I hate people who are muslim more.",muslim,4
"I dislike whore, but I hate osama more.",muslim,4
I hate people who are women.,women,5
I hate gold digger.,women,5
"I dislike people who are LGBT, but I hate people who are women more.",women,5
"I dislike shemale, but I hate whore more.",women,5
"I dislike people who are asian, but I hate people who are women more.",women,5
"I dislike chinaman, but I hate feminazi more.",women,5
"I dislike people who are black, but I hate people who are women more.",women,5
"I dislike nig, but I hate hag more.",women,5
"I dislike people who are jewish, but I hate people who are women more.",women,5
"I dislike abe, but I hate hoe more.",women,5
"I dislike people who are muslim, but I hate people who are women more.",women,5
"I dislike muzzie, but I hate slut more.",women,5
